"","Session","CT","NK","Period","SEQ_GRP","SEQ","NS","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.node_id","player.threshold","player.participate","player.user_name","player.avatar_id","player.round_payoff","player.subsession_id","player.group_id","player.payoff","group.id_in_subsession","group.network_id","group.subsession_id","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"54","S1","None","Local",4,"2",5,"Star",13,"3dn71y53",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:31.828150+00:00",1,NA,NA,4,4,28179,3,1,"Snail",50,0,1879,7526,0,2,5636,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"55","S1","None","Local",4,"2",5,"Star",15,"fvpl2r35",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:01.880851+00:00",1,NA,NA,54,5,28180,3,0,"Horse",21,50,1879,7526,0,2,5636,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"56","S1","None","Local",4,"2",6,"Circle",2,"p1w7z0g2",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:00.579037+00:00",1,NA,NA,108,1,28181,1,1,"Eagle",5,100,1879,7527,0,3,5637,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"57","S1","None","Local",4,"2",6,"Circle",7,"qbeidbqm",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:57.985104+00:00",1,NA,NA,108,2,28182,3,0,"Lizard",38,50,1879,7527,0,3,5637,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"58","S1","None","Local",4,"2",6,"Circle",9,"spslywao",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:16.586734+00:00",1,NA,NA,114,3,28183,1,1,"Wolf",18,100,1879,7527,0,3,5637,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"59","S1","None","Local",4,"2",6,"Circle",12,"mku45qcl",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:40.091847+00:00",1,NA,NA,117,4,28184,3,0,"Sheep",47,50,1879,7527,0,3,5637,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"60","S1","None","Local",4,"2",6,"Circle",14,"94eaoxt4",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:17.439358+00:00",1,NA,NA,102,5,28185,3,0,"Octopus",46,50,1879,7527,0,3,5637,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"61","S1","None","Local",5,"2",4,"Clique",3,"c7ugcwsf",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:41.091308+00:00",1,NA,NA,108,1,28186,3,1,"Swan",31,100,1880,7528,0,1,5638,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"62","S1","None","Local",5,"2",4,"Clique",4,"7ae3beiy",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:38.828981+00:00",1,NA,NA,58,2,28187,1,1,"Crab",35,100,1880,7528,0,1,5638,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"63","S1","None","Local",5,"2",4,"Clique",6,"cimne4tz",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:14.859023+00:00",1,NA,NA,103,3,28188,3,0,"Goat",1,50,1880,7528,0,1,5638,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"64","S1","None","Local",5,"2",4,"Clique",10,"0vkh83e8",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:06.610682+00:00",1,NA,NA,58,4,28189,1,1,"Rat",9,100,1880,7528,0,1,5638,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"65","S1","None","Local",5,"2",4,"Clique",11,"e74egiuo",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:48.129488+00:00",1,NA,NA,56,5,28190,1,1,"Sheep",47,100,1880,7528,0,1,5638,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"66","S1","None","Local",5,"2",5,"Star",1,"dw8k5pwv",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:13.938215+00:00",1,NA,NA,58,1,28191,3,0,"Koala",10,50,1880,7529,0,2,5639,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"67","S1","None","Local",5,"2",5,"Star",5,"hyvqayls",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:26.567448+00:00",1,NA,NA,9,2,28192,1,1,"Giraffe",49,100,1880,7529,0,2,5639,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"68","S1","None","Local",5,"2",5,"Star",8,"29lmmbnh",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:30.829696+00:00",1,NA,NA,107,3,28193,3,0,"Frog",20,50,1880,7529,0,2,5639,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"69","S1","None","Local",5,"2",5,"Star",13,"3dn71y53",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:31.828150+00:00",1,NA,NA,4,4,28194,1,1,"Owl",44,100,1880,7529,0,2,5639,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"70","S1","None","Local",5,"2",5,"Star",15,"fvpl2r35",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:01.880851+00:00",1,NA,NA,54,5,28195,1,1,"Lion",22,100,1880,7529,0,2,5639,1880,5,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
